Tiempo (s);Empuje (N)
0,0000;0,0000
0,0001;0,0000
0,0001;0,0000
0,0550;0,0000
0,0551;0,0000
0,0551;0,0000
0,0551;0,0000
0,0800;0,0000
0,0800;0,0000
0,0800;0,0000
0,1197;0,0000
0,1198;0,0000
0,1198;0,0000
0,1599;0,0000
0,1599;0,0000
0,1599;0,0000
0,1998;0,0000
0,1999;0,0000
0,1999;0,0000
0,2402;0,0000
0,2403;0,0000
0,2403;0,0000
0,2403;0,0000
0,2802;0,0000
0,2802;0,0000
0,2802;0,0000
0,3197;0,0000
0,3197;0,0000
0,3197;0,0000
0,3594;0,0000
0,3594;0,0000
0,3594;0,0000
0,3994;0,0000
0,3995;0,0000
0,3995;0,0000
0,4395;0,0000
0,4395;0,0000
0,4395;0,0000
0,4793;0,0000
0,4794;0,0000
0,4794;0,0000
0,4794;0,0000
0,5200;0,0000
0,5201;0,0000
0,5201;0,0000
0,5597;0,0000
0,5598;0,0000
0,5598;0,0000
0,6004;0,0000
0,6004;0,0000
0,6004;0,0000
0,6400;0,0000
0,6400;0,0000
0,6401;0,0000
0,6401;0,0000
0,6794;0,0000
0,6794;0,0000
0,6794;0,0000
0,7198;0,0000
0,7199;0,0000
0,7199;0,0000
0,7597;0,0000
0,7597;0,0000
0,7598;0,0000
0,7995;0,0000
0,7995;0,0000
0,7995;0,0000
0,8393;0,0000
0,8394;0,0000
0,8394;0,0000
0,8394;0,0000
0,8793;0,0000
0,8794;0,0000
0,8794;0,0000
0,9199;0,0000
0,9199;0,0000
0,9199;0,0000
0,9598;0,0000
0,9599;0,0254
0,9599;0,0407
0,9998;0,0524
1,0006;0,0648
1,0007;0,0857
1,1344;0,0945
1,1344;0,1194
1,1344;0,1219
1,1344;0,1399
1,1344;0,1391
1,1345;0,1513
1,1345;0,1696
1,1345;0,1717
1,1345;0,1828
1,1345;0,1888
1,1345;0,1869
1,1732;0,2026
1,1733;0,2183
1,1733;0,2254
1,2154;0,2177
1,2154;0,2212
1,2154;0,2207
1,2154;0,2380
1,2561;0,2273
1,2561;0,2336
1,2561;0,2381
1,2958;0,2454
1,2959;0,2556
1,2959;0,2495
1,3356;0,2457
1,3356;0,2474
1,3356;0,2587
1,3755;0,2579
1,3755;0,2618
1,3755;0,2633
1,4155;0,2780
1,4155;0,2656
1,4155;0,2714
1,4155;0,2711
1,4563;0,2690
1,4563;0,2689
1,4563;0,2889
1,4953;0,2673
1,4954;0,3011
1,4954;0,2654
1,5356;0,2819
1,5356;0,2751
1,5356;0,2784
1,5760;0,2785
1,5761;0,2719
1,5761;0,2897
1,6162;0,2801
1,6163;0,3015
1,6163;0,2644
1,6163;0,2826
1,6559;0,2741
1,6559;0,2670
1,6559;0,2539
1,6963;0,2864
1,6963;0,2685
1,6963;0,3096
1,7359;0,3140
1,7359;0,2882
1,7359;0,2722
1,7759;0,3030
1,7759;0,2775
1,7759;0,3005
1,8162;0,2931
1,8162;0,2589
1,8162;0,3009
1,8163;0,2908
1,8555;0,2942
1,8556;0,2820
1,8556;0,3180
1,8954;0,2845
1,8954;0,2945
1,8954;0,2963
1,9356;0,3021
1,9357;0,2626
1,9357;0,3142
1,9761;0,3032
1,9761;0,3094
1,9761;0,3022
2,0162;0,2572
2,0162;0,2780
2,0163;0,2844
2,0163;0,2691
2,0553;0,3095
2,0554;0,3035
2,0554;0,2977
2,0954;0,3013
2,0954;0,2698
2,0955;0,3146
2,1355;0,3169
2,1356;0,2822
2,1356;0,3119
2,1756;0,2761
2,1756;0,2908
2,1756;0,2932
2,2154;0,2959
2,2155;0,3236
2,2155;0,3024
2,2155;0,2847
2,2555;0,2866
2,2555;0,2910
2,2555;0,3095
2,2957;0,2905
2,2957;0,2848
2,2957;0,2936
2,3357;0,2939
2,3358;0,2911
2,3358;0,2873
2,3755;0,2777
2,3755;0,2885
2,3755;0,3255
2,4158;0,3086
2,4159;0,2825
2,4159;0,3165
2,4159;0,2911
2,4559;0,2738
2,4560;0,3074
2,4560;0,3070
2,4954;0,3307
2,4954;0,3050
2,4954;0,3119
2,5354;0,2709
2,5354;0,2952
2,5355;0,3133
2,5753;0,3244
2,5753;0,2870
2,5753;0,2950
2,6158;0,2740
2,6158;0,3120
2,6158;0,2846
2,6158;0,3081
2,6563;0,3191
2,6563;0,3410
2,6563;0,2936
2,6955;0,2999
2,6955;0,2763
2,6955;0,3045
2,7353;0,2772
2,7354;0,2981
2,7354;0,2841
2,7761;0,2908
2,7761;0,2975
2,7762;0,2989
2,8157;0,3121
2,8158;0,2874
2,8158;0,2743
2,8158;0,2817
2,8562;0,2675
2,8563;0,2889
2,8563;0,2825
2,8957;0,2839
2,8958;0,2949
2,8958;0,2763
2,9362;0,2823
2,9362;0,3103
2,9362;0,2509
2,9761;0,2782
2,9761;0,2743
